"Timestamp","In the past 7 days, how many times did you use AI tools like ChatGPT, Google Bard, Gemini,  or others?"
"2025/08/07 1:13:56 PM GMT+5:45","7"
"2025/08/07 1:16:52 PM GMT+5:45","0"
"2025/08/07 1:17:58 PM GMT+5:45","10"
"2025/08/07 1:23:32 PM GMT+5:45","10"
"2025/08/07 1:25:39 PM GMT+5:45","0"
"2025/08/07 1:26:05 PM GMT+5:45","6"
"2025/08/07 1:26:05 PM GMT+5:45","5"
"2025/08/07 1:27:11 PM GMT+5:45","10"
"2025/08/07 1:27:47 PM GMT+5:45","0"
"2025/08/07 1:27:59 PM GMT+5:45","9"
"2025/08/07 1:32:14 PM GMT+5:45","10"
"2025/08/07 1:32:19 PM GMT+5:45","10"
"2025/08/07 1:32:50 PM GMT+5:45","10"
"2025/08/07 1:33:27 PM GMT+5:45","10"
"2025/08/07 1:33:40 PM GMT+5:45","10"
"2025/08/07 1:38:09 PM GMT+5:45","10"
"2025/08/07 1:55:21 PM GMT+5:45","0"
"2025/08/07 2:01:49 PM GMT+5:45","7"
"2025/08/07 3:25:56 PM GMT+5:45","2"
"2025/08/07 7:01:37 PM GMT+5:45","3"
"2025/08/10 4:29:04 PM GMT+5:45","8"
"2025/08/10 4:29:32 PM GMT+5:45","8"